"Pos","Ht","Wt","Forty","Vertical","BenchReps","BroadJump","Cone","Shuttle","Pick","BMI"
"OLB",76,252,4.55,NA,NA,NA,NA,NA,13,30.6710526315789
"RB",72,218,4.58,NA,NA,NA,NA,NA,19,29.5628858024691
"OT",76,334,5.56,21,26,53,8.48,4.98,188,40.6513157894737
"CB",74,206,4.55,12,NA,24,7.18,4.15,23,26.4459459459459
"OLB",75,250,4.53,NA,NA,NA,NA,NA,2,31.2444444444444
"CB",69,175,4.44,11,32,28,7.03,4.14,125,25.8401596303298
"FS",72,208,4.62,11,39,33,6.92,4.32,225,28.2067901234568
"CB",70,199,4.44,8.5,33,31,6.81,4.04,102,28.5504081632653
"CB",73,192,4.43,7.5,NA,23,6.7,3.99,54,25.32857947082
"CB",71,178,4.5,11.5,NA,25,6.87,4.2,133,24.8232493552866
"TE",78,270,4.78,12.5,NA,24,6.94,4.08,27,31.198224852071
"FS",73,207,4.62,6.5,34,28,6.48,4.29,43,27.3073747419779
"OG",76,302,5.07,14.5,32,44,7.76,4.58,206,36.7565789473684
"ILB",74,237,4.78,14.5,28,36,7.17,4.33,116,30.4256756756757
"FS",71,204,4.55,NA,NA,NA,NA,NA,126,28.4491172386431
"SS",73,201,4.49,13,37,32,7.06,4.09,198,26.5158566335147
"QB",76,211,5.28,21.5,NA,48,7.2,4.38,199,25.6809210526316
"CB",70,185,4.55,NA,39,NA,NA,NA,140,26.5418367346939
"SS",70,204,4.59,10,35,31,6.93,4.01,39,29.2677551020408
"DE",77,269,4.78,NA,NA,NA,NA,NA,1,31.8952605835723
"QB",74,208,4.97,NA,NA,47,7.46,4.34,168,26.7027027027027
"OLB",75,244,4.47,8,NA,28,7.33,4.13,30,30.4945777777778
"WR",77,231,4.59,13,NA,32,NA,NA,8,27.3896103896104
"RB",71,193,4.41,NA,31,NA,NA,NA,31,26.9150962110692
"OG",77,297,5.16,15,21,47,7.82,4.48,112,35.2152133580705
"DE",73,283,5.06,18,27,41,7.82,4.75,113,37.3332707825108
"SS",68,190,4.5,5,33,26,6.75,4.19,118,28.8862456747405
"RB",70,215,4.56,7.5,33,19,6.84,4.2,88,30.8459183673469
"CB",71,205,4.47,NA,33,21,NA,NA,52,28.5885736956953
"DT",73,283,5.25,18.5,24,39,7.98,4.65,72,37.3332707825108
"OG",77,303,5.15,14.5,20,47,7.77,4.86,37,35.9266318097487
"ILB",74,245,4.75,NA,29,NA,NA,NA,245,31.4527027027027
"OT",77,334,5.05,15.5,25,45,7.58,4.73,44,39.602293810086
"WR",72,191,4.37,8.5,NA,22,6.76,4.09,70,25.9014274691358
"OG",76,322,5.4,18,NA,46,8.15,4.97,51,39.1907894736842
"WR",71,192,4.41,12,NA,32,6.89,4.39,78,26.7756397540171
"DT",77,286,5.16,NA,27,NA,NA,NA,173,33.9109461966605
"WR",73,199,4.55,12,NA,30,6.96,4.16,79,26.252017264027
"RB",71,259,4.65,NA,NA,NA,NA,NA,11,36.1192223765126
"OLB",76,231,4.66,NA,NA,NA,NA,NA,98,28.1151315789474
"RB",71,215,4.66,16,36,32,7.34,4.41,81,29.983138266217
"WR",73,206,4.58,NA,NA,30,NA,NA,66,27.175455057234
"FB",71,260,4.99,18,NA,43,7.88,4.81,117,36.2586788335648
"CB",72,191,4.46,NA,NA,27,NA,NA,180,25.9014274691358
"DE",76,280,4.85,NA,NA,NA,NA,NA,12,34.0789473684211
"DE",76,260,4.73,12,25,32,6.95,4.28,35,31.6447368421053
"WR",75,217,4.58,NA,NA,NA,NA,NA,103,27.1201777777778
"DE",76,271,4.75,13,25,33,7.21,4.15,26,32.983552631579
"TE",78,265,4.85,NA,NA,NA,NA,NA,14,30.620479947403
"FS",73,199,4.55,NA,35,NA,NA,NA,145,26.252017264027
"FS",72,188,4.5,10.5,35,23,6.91,4.38,152,25.4945987654321
"DE",76,281,4.73,11.5,18,33,7.2,4.41,93,34.2006578947368
"FB",75,253,4.85,19,31,31,7.46,4.52,227,31.6193777777778
"WR",75,199,4.56,8.5,NA,26,7.03,4.29,111,24.8705777777778
"OLB",76,243,4.65,12,28,27,6.9,4.28,149,29.5756578947368
"OLB",73,221,4.56,13,28,32,6.97,4.19,40,29.1542503283918
"CB",71,195,4.45,NA,NA,NA,NA,NA,49,27.1940091251736
"DT",77,316,5.31,16.5,25,49,8,5.03,167,37.4680384550514
"SS",74,209,4.5,NA,34,NA,NA,NA,57,26.8310810810811
"FB",72,253,4.78,17.5,24,39,7.08,4.34,213,34.3092206790123
"OLB",72,233,4.56,10,27,27,NA,NA,50,31.5970293209877
"DE",75,297,4.9,15,19,36,7.63,4.62,42,37.1184
"OLB",75,253,4.97,14.5,29,38,7.12,4.21,137,31.6193777777778
"QB",70,192,4.81,NA,NA,41,NA,NA,234,27.5461224489796
"CB",69,186,4.34,7,33,26,6.75,4.01,187,27.4643982356648
"CB",70,190,4.5,8.5,33,28,7.12,4.25,64,27.2591836734694
"WR",71,204,4.5,NA,NA,NA,7.33,4.18,143,28.4491172386431
"DT",74,305,4.99,16,14,46,6.85,4.16,25,39.1554054054054
"DE",76,281,5.09,17,NA,39,7,4.32,33,34.2006578947368
"QB",75,216,5.2,18.5,NA,48,7.17,4.41,202,26.9952
"DT",75,324,5.12,NA,NA,NA,NA,NA,107,40.4928
"DT",77,296,5.05,14.5,30,42,7.69,4.72,176,35.0966436161241
"QB",72,226,4.68,NA,NA,38,NA,NA,214,30.647762345679
"WR",72,197,4.56,NA,NA,NA,NA,NA,80,26.7150848765432
"OG",75,320,5.62,20.5,25,53,8.51,5.22,182,39.9928888888889
"DT",72,293,5.03,17.5,23,45,NA,NA,101,39.7336033950617
"SS",72,215,4.6,8,37,26,6.96,4.17,224,29.1560570987654
"RB",70,216,4.45,NA,NA,NA,NA,NA,7,30.989387755102
"OLB",73,240,4.68,NA,20,NA,NA,NA,177,31.660724338525
"OG",76,330,5.46,15,24,43,7.91,4.76,82,40.1644736842105
"RB",70,214,4.41,4.5,26,16,6.82,3.93,97,30.7024489795918
"CB",69,183,4.53,10,32,31,6.63,3.95,84,27.0214240705734
"FS",73,221,4.71,12.5,41,34,7.08,4.38,45,29.1542503283918
"TE",78,272,4.9,NA,NA,NA,NA,NA,68,31.4293228139382
"OT",76,307,4.98,NA,25,NA,NA,NA,46,37.3651315789474
"CB",71,190,4.42,12,NA,22,NA,NA,109,26.4967268399127
"DT",76,300,5.08,16,4,37,7.46,4.37,194,36.5131578947368
"WR",73,202,4.56,10.5,NA,22,7.3,4.25,242,26.6477763182586
"RB",72,240,4.58,NA,26,NA,NA,NA,5,32.5462962962963
"ILB",76,259,4.7,11,27,29,6.86,4.06,87,31.5230263157895
"CB",69,194,4.54,8.5,NA,27,6.9,4.09,91,28.6456626759084
"CB",69,184,4.44,10.5,29,30,6.73,4,130,27.1690821256039
"QB",74,227,4.58,11.5,NA,34,NA,NA,163,29.1418918918919
"OT",77,361,5.5,NA,25,NA,NA,NA,20,42.8036768426379
"OT",76,328,5.31,20,26,50,7.72,4.71,83,39.9210526315789
"OT",78,315,5.39,NA,21,NA,NA,NA,22,36.3979289940828
"DT",76,289,5.09,18.5,27,45,7.73,4.61,120,35.1743421052632
"RB",72,212,4.69,13,NA,27,6.89,4.15,252,28.7492283950617
"C",75,298,5.12,12,24,37,7.46,4.43,60,37.2433777777778
"DE",77,284,4.99,15.5,22,34,7.49,4.52,241,33.6738067127678
"OLB",71,223,4.6,NA,28,NA,NA,NA,89,31.0987899226344
"RB",73,231,4.57,10,26,30,NA,NA,115,30.4734471758304
"WR",75,216,4.6,11.5,NA,28,7.06,4.17,21,26.9952
"FB",72,221,4.65,8.5,26,30,7.05,4.21,156,29.9697145061728
"ILB",74,250,4.77,13,31,34,6.93,4.17,28,32.0945945945946
"SS",69,211,4.56,NA,25,NA,NA,NA,135,31.1558496114262
"RB",68,182,4.5,10,31,26,NA,NA,166,27.6699826989619
"FS",73,183,4.56,8.5,NA,24,7.04,4.1,124,24.1413023081254
"WR",70,175,4.43,8.5,NA,24,6.96,4.04,32,25.1071428571429
"CB",71,193,4.6,NA,NA,NA,NA,NA,15,26.9150962110692
"SS",73,208,4.63,11,32,32,6.81,4.21,236,27.4392944267217
"QB",75,229,4.81,12.5,NA,36,7.12,4.16,18,28.6199111111111
"OLB",77,231,4.68,NA,NA,NA,NA,NA,16,27.3896103896104
"WR",74,205,4.66,6.5,NA,18,6.93,4.13,172,26.3175675675676
"WR",74,169,4.45,NA,NA,NA,NA,NA,36,21.6959459459459
"CB",71,191,4.43,NA,NA,NA,NA,NA,24,26.6361832969649
"OLB",74,233,4.75,14,31,36,7.43,4.45,251,29.9121621621622
"WR",74,221,4.48,NA,NA,NA,NA,NA,47,28.3716216216216
"CB",70,197,4.57,9,33,21,6.66,4,77,28.2634693877551
"RB",72,225,4.5,9,26,32,6.92,4.4,63,30.5121527777778
"OT",78,333,5.59,20,27,52,8.15,5.13,127,38.4778106508876
"QB",72,215,4.91,20.5,NA,47,7.34,4.21,212,29.1560570987654
"QB",75,222,5.37,19.5,NA,49,7.8,4.78,75,27.7450666666667
"RB",71,216,4.48,13.5,NA,26,NA,NA,76,30.1225947232692
"OT",75,299,5.37,19.5,29,48,7.49,4.88,131,37.3683555555556
"DT",76,312,5.09,16.5,24,53,7.72,4.72,55,37.9736842105263
"CB",71,188,4.55,NA,NA,NA,NA,NA,34,26.2178139258084
"OT",77,325,5.08,NA,NA,NA,NA,NA,3,38.5351661325687
"CB",72,202,4.5,9,39,31,NA,NA,95,27.3931327160494
"OLB",75,241,4.75,13.5,NA,36,7.33,4.38,215,30.1196444444444
"WR",72,194,4.59,12.5,NA,28,NA,NA,99,26.3082561728395
"CB",70,193,4.5,12,38,31,7.45,4.24,179,27.6895918367347
"FB",76,253,4.81,8.5,NA,33,6.72,4.3,110,30.7927631578947
"CB",73,195,4.53,11,44,27,NA,NA,62,25.7243385250516
